Periodico,Quantidade
Robotics and Computer-Integrated Manufacturing,8
2019 15th International Conference on Distributed Computing in Sensor Systems (DCOSS),2
Proceedings of the Twenty-Fourth International Conference on Architectural Support for Programming Languages and Operating Systems,1
Journal of Parallel and Distributed Computing,6
ICT Express,7
Proceedings of the 2nd International Conference on Information Technologies and Electrical Engineering,2
International Journal of Environmental Research and Public Health,16
2021 Aerial Robotic Systems Physically Interacting with the Environment (AIRPHARO),1
Journal of Communications and Information Networks,6
Proceedings of the 54th Annual Design Automation Conference 2017,1
IEEE Journal of Photovoltaics,1
Proceedings of the 26th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,1
Telecom,4
Science Bulletin,2
Proceedings of the Eurographics Symposium on Geometry Processing,1
"2013 13th International Conference on Control, Automation and Systems (ICCAS 2013)",1
IEEE/WIC/ACM International Conference on Web Intelligence,1
Inventions,3
2019 1st International Informatics and Software Engineering Conference (UBMYK),1
2019 27th European Signal Processing Conference (EUSIPCO),1
Computer Law & Security Review,7
Geographies,2
Journal of Sensor and Actuator Networks,13
Frontiers of Architectural Research,1
2021 2nd Global Conference for Advancement in Technology (GCAT),2
2021 IEEE 24th International Conference on Information Fusion (FUSION),2
2018 Chinese Automation Congress (CAC),3
2017 2nd International Conference on Power and Renewable Energy (ICPRE),2
Proceedings of the 2014 Annual Conference on Genetic and Evolutionary Computation,1
"2021 IEEE 32nd Annual International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC)",3
2021 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),1
Petroleum Exploration and Development,2
2017 International Conference on Engineering Technology and Technopreneurship (ICE2T),1
"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2
IEEE Antennas and Wireless Propagation Letters,1
2019 27th National Conference with International Participation (TELECOM),1
Cement and Concrete Composites,2
2017 International Conference on Machine Learning and Cybernetics (ICMLC),1
2020 5th International Conference on Computer Science and Engineering (UBMK),1
2016 XIX IEEE International Conference on Soft Computing and Measurements (SCM),1
International Journal of Hydrogen Energy,6
2021 6th International Conference on Communication and Electronics Systems (ICCES),2
Photonics,3
Insects,1
2018 International Conference on Smart Systems and Inventive Technology (ICSSIT),1
One Earth,2
Science & Justice,1
Environment International,2
Molecules,3
"Proceedings of the 15th ACM Workshop on Wireless Network Testbeds, Experimental Evaluation &amp; CHaracterization",2
Journal of Archaeological Science: Reports,1
Sustainable Computing: Informatics and Systems,7
Systems,1
Workshop on Design and Architectures for Signal and Image Processing (14th Edition),2
2020 IEEE 45th Conference on Local Computer Networks (LCN),1
Artificial Intelligence in Agriculture,5
2020 IEEE 2nd International Conference on Cyberspac (CYBER NIGERIA),1
2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),1
Process Safety and Environmental Protection,4
The Electricity Journal,2
IEEE Open Journal of the Communications Society,5
2014 International Conference on Contemporary Computing and Informatics (IC3I),1
Urban Forestry & Urban Greening,10
"2013 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",1
Patterns,2
Machine Learning and Knowledge Extraction,6
The Innovation,1
Proceedings of the 2018 International Conference on Artificial Intelligence and Virtual Reality,1
2020 IEEE 7th International Conference on Industrial Engineering and Applications (ICIEA),1
IEEE Transactions on Antennas and Propagation,1
12th European Conference on Antennas and Propagation (EuCAP 2018),1
Proceedings of the 4th International Conference on Big Data and Internet of Things,1
Orbis,3
"2018 IEEE 10th International Conference on Humanoid, Nanotechnology, Information Technology,Communication and Control, Environment and Management (HNICEM)",1
"2020 5th International Conference on Automation, Control and Robotics Engineering (CACRE)",2
"Proceedings of the 3rd Workshop on Micro Aerial Vehicle Networks, Systems, and Applications",3
The Extractive Industries and Society,1
International Soil and Water Conservation Research,3
Crop Protection,2
Soil and Tillage Research,5
Environmental Pollution,8
Transportation Research Interdisciplinary Perspectives,1
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,23
ACM Trans. Internet Things,2
49th IEEE Conference on Decision and Control (CDC),2
Proceedings of the 18th International Conference on Autonomous Agents and MultiAgent Systems,4
International Journal of Human-Computer Studies,5
2020 the 6th International Conference on Communication and Information Processing,1
2021 17th International Symposium on Wireless Communication Systems (ISWCS),3
"2018 Integrated Communications, Navigation, Surveillance Conference (ICNS)",1
2019 IEEE International Conference on Real-time Computing and Robotics (RCAR),2
2019 Chinese Automation Congress (CAC),6
2019 14th IEEE International Conference on Electronic Measurement Instruments (ICEMI),2
Animals,4
2020 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),2
Journal of Aerosol Science,1
Proceedings of the 18th International Conference on Information Processing in Sensor Networks,1
Water Resources and Industry,1
2020 International Symposium on Community-centric Systems (CcS),1
"2019 11th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",1
AgriEngineering,5
Materials,4
Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion,2
NDT & E International,2
2015 IEEE International Conference on Robotics and Automation (ICRA),1
2017 Latin American Robotics Symposium (LARS) and 2017 Brazilian Symposium on Robotics (SBR),2
2019 42nd International Conference on Telecommunications and Signal Processing (TSP),1
2018 14th Symposium on Neural Networks and Applications (NEUREL),2
2021 IEEE 4th International Conference on Electronic Information and Communication Technology (ICEICT),1
2021 IEEE Winter Conference on Applications of Computer Vision (WACV),1
"2021 46th International Conference on Infrared, Millimeter and Terahertz Waves (IRMMW-THz)",1
2014 International Conference on Digital Image Computing: Techniques and Applications (DICTA),1
Procedia - Social and Behavioral Sciences,1
2020 IEEE Symposium Series on Computational Intelligence (SSCI),3
2015 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2
2021 International Conference on Information and Communication Technology Convergence (ICTC),5
"2021 Latin American Robotics Symposium (LARS), 2021 Brazilian Symposium on Robotics (SBR), and 2021 Workshop on Robotics in Education (WRE)",3
"2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)",4
2019 Third World Conference on Smart Trends in Systems Security and Sustainablity (WorldS4),1
2021 2nd International Conference for Emerging Technology (INCET),1
IEEE Transactions on Control Systems Technology,5
Proceedings of the 2018 International Conference on Artificial Intelligence and Pattern Recognition,1
International Journal of Intelligent Networks,1
Ocean & Coastal Management,9
2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),3
"2016 14th International Conference on Control, Automation, Robotics and Vision (ICARCV)",1
2017 IEEE Global Conference on Signal and Information Processing (GlobalSIP),2
2019 IEEE International Conference on Unmanned Systems and Artificial Intelligence (ICUSAI),2
IEEE Consumer Electronics Magazine,2
"2017 IEEE SmartWorld, Ubiquitous Intelligence Computing, Advanced Trusted Computed, Scalable Computing Communications, Cloud Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",1
2020 IEEE Aerospace Conference,2
2020 IEEE International Symposium on Circuits and Systems (ISCAS),1
IEEE Transactions on Mobile Computing,12
2019 IEEE International Workshop on Signal Processing Systems (SiPS),1
"2020 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)",4
2019 18th European Control Conference (ECC),1
Proceedings of the Workshop on Design Automation for CPS and IoT,1
2016 IEEE International Conference on Robotics and Automation (ICRA),3
2010 10th International Conference on Intelligent Systems Design and Applications,1
2017 32nd Youth Academic Annual Conference of Chinese Association of Automation (YAC),3
Advances in Space Research,8
Proceedings of the 11th ACM Symposium on Cloud Computing,1
Proceedings of the 27th ACM International Conference on Multimedia,4
Environmental Technology & Innovation,2
2017 IEEE International Conference on Robotics and Automation (ICRA),1
2019 11th International Conference on Wireless Communications and Signal Processing (WCSP),4
Earth,2
"2018 IEEE SmartWorld, Ubiquitous Intelligence Computing, Advanced Trusted Computing, Scalable Computing Communications, Cloud Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",1
Computers & Chemical Engineering,2
"2017 Integrated Communications, Navigation and Surveillance Conference (ICNS)",2
IEEE/ACM Trans. Comput. Biol. Bioinformatics,2
Proceedings of the 24th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2
2021 29th Mediterranean Conference on Control and Automation (MED),1
Nano Energy,1
2017 International Conference on Unmanned Aircraft Systems (ICUAS),4
Composites Science and Technology,1
2020 IEEE Winter Conference on Applications of Computer Vision (WACV),1
2019 IEEE Globecom Workshops (GC Wkshps),4
IEEE Transactions on Knowledge and Data Engineering,1
IEEE Journal of Selected Topics in Signal Processing,2
Computer Methods and Programs in Biomedicine Update,1
"2018 IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)",1
Political Geography,1
2021 IEEE 33rd International Conference on Tools with Artificial Intelligence (ICTAI),2
Current Opinion in Plant Biology,6
"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",1
2018 21st International Conference on Information Fusion (FUSION),1
Proceedings of the 27th Annual ACM Symposium on User Interface Software and Technology,1
"2017 Recent Developments in Control, Automation Power Engineering (RDCAPE)",1
Biology,1
"Proceedings of the 6th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",1
IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium,6
The 14th PErvasive Technologies Related to Assistive Environments Conference,2
"2019 IEEE SmartWorld, Ubiquitous Intelligence Computing, Advanced Trusted Computing, Scalable Computing Communications, Cloud Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",1
Proceedings of the 26th Annual International Conference on Mobile Computing and Networking,1
2020 the 3rd International Conference on Control and Computer Vision,1
6th International Conference on Sustainable Information Engineering and Technology 2021,1
Proceedings of the 28th ACM International Conference on Multimedia,3
2021 4th International Conference on Data Science and Information Technology,1
Journal of Biomedical Informatics,2
Rangeland Ecology & Management,4
2018 26th Signal Processing and Communications Applications Conference (SIU),2
2019 1st International Conference on Unmanned Vehicle Systems-Oman (UVS),1
"2017 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",1
AI,7
Proceedings of the 2019 4th International Conference on Machine Learning Technologies,1
Proceedings of the 2019 3rd International Conference on Big Data Research,1
2021 16th Iberian Conference on Information Systems and Technologies (CISTI),2
Proceedings of the 20th ACM International Conference on Information and Knowledge Management,1
Proceedings of the 11th International Conference on Distributed Smart Cameras,2
IEEE Transactions on Green Communications and Networking,5
Biological Conservation,6
2018 25th IEEE International Conference on Image Processing (ICIP),2
2021 IEEE Wireless Communications and Networking Conference (WCNC),3
"Proceedings of the 16th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",2
Journal of Information Security and Applications,5
"Proceedings of the 4th International Conference on Control, Mechatronics and Automation",1
Academic Press Library in Signal Processing: Volume 4,1
Academic Press Library in Signal Processing: Volume 3,2
Academic Press Library in Signal Processing: Volume 2,1
Advances in Parasitology,1
Advances in Agronomy,1
Journal of Applied Geophysics,2
2013 IEEE 25th International Conference on Tools with Artificial Intelligence,1
Regional Studies in Marine Science,2
Building and Environment,5
Proceedings of the Practice and Experience in Advanced Research Computing on Rise of the Machines (Learning),1
Energy Procedia,4
Journal of Fluids and Structures,1
Urban Climate,4
Sensors and Actuators B: Chemical,5
Proceedings of the International Conference on Advances in Information Communication Technology &amp; Computing,1
"2020 24th International Conference on System Theory, Control and Computing (ICSTCC)",2
2018 International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),1
2020 International Conference on Internet of Things and Intelligent Applications (ITIA),1
Proceedings of the 6th ACM/ACIS International Conference on Applied Computing and Information Technology,1
Journal of Molecular and Cellular Cardiology,1
2018 IEEE MIT Undergraduate Research Technology Conference (URTC),1
Proceedings of the 2020 3rd International Conference on Image and Graphics Processing,2
Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,2
The Journal of China Universities of Posts and Telecommunications,3
2019 International Conference on Advances in the Emerging Computing Technologies (AECT),1
2019 International Symposium on Electronics and Smart Devices (ISESD),1
"2021 IEEE 4th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)",1
2020 International Symposium on Advanced Electrical and Communication Technologies (ISAECT),2
Energy,7
"2018 15th International Conference on Control, Automation, Robotics and Vision (ICARCV)",1
2018 International Conference on Design Innovations for 3Cs Compute Communicate Control (ICDI3C),1
"2020 International Conference on Electronics, Information, and Communication (ICEIC)",1
2021 2nd Information Communication Technologies Conference (ICTC),1
IEEE Transactions on Automation Science and Engineering,1
The 2021 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,1
IEEE Transactions on Cognitive Communications and Networking,8
Seminars in Thoracic and Cardiovascular Surgery,1
2021 IEEE 3rd International Conference on Frontiers Technology of Information and Computer (ICFTIC),2
2018 Digital Image Computing: Techniques and Applications (DICTA),2
Proceedings of the 4th International Conference on Communication and Information Processing,2
CATENA,10
"The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions",1
Fuel,1
2019 IEEE 15th International Colloquium on Signal Processing Its Applications (CSPA),1
2021 IEEE International Conference on Big Data (Big Data),1
2019 International Conference on Intelligent Computing and Remote Sensing (ICICRS),1
2018 International Conference Laser Optics (ICLO),1
25th ACM Symposium on Virtual Reality Software and Technology,1
2018 15th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),3
2020 IEEE International Conference on Big Data (Big Data),1
Diagnostics,1
Cognitive Systems Research,6
2019 IEEE National Aerospace and Electronics Conference (NAECON),2
2017 IEEE International Conference on Computer Vision Workshops (ICCVW),4
2021 29th Conference of Open Innovations Association (FRUCT),2
2020 IEEE 6th International Conference on Methods and Systems of Navigation and Motion Control (MSNMC),1
Graphical Models,1
Journal of Materials Research and Technology,1
Proceedings,2
2021 IEEE International Conference on Imaging Systems and Techniques (IST),1
Advanced Drug Delivery Reviews,1
Proceedings of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,1
Proceedings of the 56th Annual Design Automation Conference 2019,1
Actuators,7
2020 IEEE 21st International Workshop on Signal Processing Advances in Wireless Communications (SPAWC),1
Journal of Volcanology and Geothermal Research,3
2017 Chinese Automation Congress (CAC),2
2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),1
ACM Trans. Graph.,7
2017 IFIP/IEEE International Conference on Very Large Scale Integration (VLSI-SoC),2
"2013 IEEE Symposium on Computational Intelligence, Cognitive Algorithms, Mind, and Brain (CCMB)",1
2018 IEEE Latin American Conference on Computational Intelligence (LA-CCI),2
Energy Research & Social Science,1
2010 IEEE International Conference on Control Applications,1
Physics Procedia,1
Proceedings of the ACM/IEEE Sixth International Conference on Cyber-Physical Systems,2
Systems & Control Letters,2
SoutheastCon 2021,2
"2018 18th International Conference on Control, Automation and Systems (ICCAS)",1
2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),2
IEEE Transactions on Network Science and Engineering,3
2021 30th Wireless and Optical Communications Conference (WOCC),3
2021 IEEE/CIC International Conference on Communications in China (ICCC),5
2016 IEEE International Conference on Digital Signal Processing (DSP),1
2016 13th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI),1
"2021 2nd International Conference on Control, Robotics and Intelligent System",1
OCEANS 2011 IEEE - Spain,1
2018 IEEE 1st Colombian Conference on Applications in Computational Intelligence (ColCACI),1
2017 21st International Conference on Control Systems and Computer Science (CSCS),1
Ain Shams Engineering Journal,2
2019 IEEE/AIAA 38th Digital Avionics Systems Conference (DASC),2
International Conference on Distributed Computing and Networking 2021,1
2019 IEEE Symposium on Computers and Communications (ISCC),1
2018 IEEE International Smart Cities Conference (ISC2),1
Transportation Engineering,1
"2018 Latin American Robotic Symposium, 2018 Brazilian Symposium on Robotics (SBR) and 2018 Workshop on Robotics in Education (WRE)",1
Molecular Plant,1
Proceedings of the 34th Annual Computer Security Applications Conference,1
Agricultural Water Management,11
"Proceedings of the 2020 2nd International Conference on Robotics, Intelligent Control and Artificial Intelligence",1
Journal of Pipeline Science and Engineering,1
Network Security,1
2019 International Conference on Military Technologies (ICMT),1
"2020 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",2
2019 20th International Radar Symposium (IRS),1
2020 21st International Radar Symposium (IRS),1
Proceedings of the 2018 Winter Simulation Conference,3
SIGKDD Explor. Newsl.,2
Computers & Structures,1
Modelling,1
2019 Prognostics and System Health Management Conference (PHM-Paris),1
ACM Trans. Des. Autom. Electron. Syst.,3
IECON 2019 - 45th Annual Conference of the IEEE Industrial Electronics Society,2
2018 World Automation Congress (WAC),1
Proceedings of the 2nd Workshop on Experiences in the Design and Implementation of Smart Objects,1
"International Conference on Frontiers of Electronics, Information and Computation Technologies",1
"2021 IEEE 12th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)",1
Proceedings of the 11th International Conference on Autonomous Agents and Multiagent Systems - Volume 1,3
2019 12th Asian Control Conference (ASCC),1
Proceedings of the 2014 Symposium on Agent Directed Simulation,1
2021 IEEE 93rd Vehicular Technology Conference (VTC2021-Spring),6
2021 IEEE World AI IoT Congress (AIIoT),1
Journal of Hospitality and Tourism Management,1
2021 8th International Conference on Dependable Systems and Their Applications (DSA),2
Proceedings of the 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,1
2017 14th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),1
2021 American Control Conference (ACC),2
2019 IEEE International Conference on Robotics and Biomimetics (ROBIO),2
2018 24th International Conference on Automation and Computing (ICAC),1
"2021 International Conference on Electronics, Information, and Communication (ICEIC)",3
"2021 3rd International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA)",1
2019 6th International Conference on Computing for Sustainable Global Development (INDIACom),1
"2021 International Conference on Communications, Information System and Computer Engineering (CISCE)",1
2020 3rd International Conference on Information and Communications Technology (ICOIACT),1
2020 Innovations in Intelligent Systems and Applications Conference (ASYU),2
Proceedings of the 5th International Conference on Communication and Information Processing,1
Array,4
IEEE Wireless Communications Letters,13
ICC 2019 - 2019 IEEE International Conference on Communications (ICC),8
IEEE Aerospace and Electronic Systems Magazine,2
2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),3
2021 International Conference on Networking and Network Applications (NaNA),1
"2020 IEEE International Conference on Informatics, IoT, and Enabling Technologies (ICIoT)",1
2021 IEEE Green Energy and Smart Systems Conference (IGESSC),1
IEEE Geoscience and Remote Sensing Magazine,2
2017 18th International Conference on Advanced Robotics (ICAR),2
2020 16th International Conference on Network and Service Management (CNSM),1
Engineering Fracture Mechanics,1
Waste Management,3
2017 IEEE International Conference on Consumer Electronics (ICCE),1
2021 IEEE 7th International Conference on Network Softwarization (NetSoft),1
European Journal of Operational Research,8
2021 International Wireless Communications and Mobile Computing (IWCMC),8
2021 IEEE International Conference on Unmanned Systems (ICUS),4
2020 IEEE International Conference on Communications Workshops (ICC Workshops),9
2019 IEEE Global Communications Conference (GLOBECOM),17
IEEE INFOCOM 2020 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),2
2018 IEEE Conference on Evolving and Adaptive Intelligent Systems (EAIS),1
2018 IEEE International Conference on Communications (ICC),2
2021 IEEE 46th Conference on Local Computer Networks (LCN),2
2020 International Wireless Communications and Mobile Computing (IWCMC),1
"MobiQuitous 2020 - 17th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",2
2018 IEEE International Conference on Communication Systems (ICCS),2
2019 IEEE 6th International Conference on Engineering Technologies and Applied Sciences (ICETAS),1
"2019 6th International Conference on Control, Decision and Information Technologies (CoDIT)",2
IEEE Systems Journal,3
2021 4th International Conference on Information Communication and Signal Processing (ICICSP),1
2020 Fourth IEEE International Conference on Robotic Computing (IRC),2
IEEE Transactions on Software Engineering,1
2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),4
2018 Tenth International Conference on Advanced Computational Intelligence (ICACI),1
2017 36th Chinese Control Conference (CCC),2
Proceedings of the 41st International Conference on Software Engineering: Companion Proceedings,1
2018 IEEE Symposium Series on Computational Intelligence (SSCI),2
49th International Conference on Parallel Processing - ICPP,1
Annual Computer Security Applications Conference,1
2018 IEEE International Conference on Data Mining Workshops (ICDMW),1
2020 7th International Forum on Electrical Engineering and Automation (IFEEA),2
"Proceedings of the 2nd International Conference on Intelligent Systems, Metaheuristics &amp; Swarm Intelligence",1
2018 IEEE International Symposium on Dynamic Spectrum Access Networks (DySPAN),1
ACM Trans. Multimedia Comput. Commun. Appl.,3
2020 IEEE 17th India Council International Conference (INDICON),2
Environmental Science & Policy,3
2018 IEEE Globecom Workshops (GC Wkshps),1
2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),1
2020 25th International Conference on Pattern Recognition (ICPR),4
Journal of Petroleum Science and Engineering,3
Proceedings of the 2020 5th International Conference on Cloud Computing and Internet of Things,1
"2021 International Conference on Control, Automation and Diagnosis (ICCAD)",1
2021 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),1
2012 24th Chinese Control and Decision Conference (CCDC),2
"2020 16th International Conference on Control, Automation, Robotics and Vision (ICARCV)",2
CIRP Annals,2
2019 IEEE 39th Central America and Panama Convention (CONCAPAN XXXIX),1
2020 3rd International Conference on Control and Robots (ICCR),1
2021 2nd International Conference on Artificial Intelligence and Information Systems,2
Biomimetics,1
2021 International Conference on Communication information and Computing Technology (ICCICT),1
Proceedings of the 2nd Workshop on Data Acquisition To Analysis,1
ACM Trans. Comput.-Hum. Interact.,1
2021 IEEE European Test Symposium (ETS),1
Proceedings of the Computing Frontiers Conference,1
Fire,3
Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security,1
Proceedings of the ACM Workshop on Wireless Security and Machine Learning,1
"2019 International Conference on Computer, Information and Telecommunication Systems (CITS)",1
2019 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),1
2021 International Conference on Artificial Intelligence and Computer Science Technology (ICAICST),1
"Proceedings of the Symposium on Modeling and Simulation of Complexity in Intelligent, Adaptive and Autonomous Systems",3
Applied System Innovation,2
2019 PhotonIcs Electromagnetics Research Symposium - Spring (PIERS-Spring),1
2019 27th Signal Processing and Communications Applications Conference (SIU),1
Engineering Proceedings,4
Optics and Lasers in Engineering,1
2018 IEEE 17th International Conference on Mathematical Methods in Electromagnetic Theory (MMET),1
Postharvest Biology and Technology,3
J. Comput. Cult. Herit.,4
2019 16th IEEE Annual Consumer Communications Networking Conference (CCNC),3
2016 International Conference on Computing Communication Control and automation (ICCUBEA),1
UKACC International Conference on Control 2010,1
2021 International Conference on Data Analytics for Business and Industry (ICDABI),1
"2020 4th International Conference on Computer, Communication and Signal Processing (ICCCSP)",1
"2020 IEEE 15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering (TCSET)",1
2018 IEEE 5th International Conference on Engineering Technologies and Applied Sciences (ICETAS),2
"2019 International Conference on Wireless Technologies, Embedded and Intelligent Systems (WITS)",1
2017 4th International Scientific-Practical Conference Problems of Infocommunications. Science and Technology (PIC S T),1
2016 IEEE 12th International Conference on e-Science (e-Science),1
INTERACT-2010,1
2020 7th International Conference on Dependable Systems and Their Applications (DSA),1
Materials & Design,3
TENCON 2017 - 2017 IEEE Region 10 Conference,1
2015 12th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI),2
"2020 IEEE 12th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",1
Horticulturae,4
Beverages,1
Aquacultural Engineering,1
"2018 International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)",1
2021 3rd International Conference on Industrial Artificial Intelligence (IAI),1
2017 IEEE VI Forum Strategic Partnership of Universities and Enterprises of Hi-Tech Branches (Science. Education. Innovations) (SPUE),1
Proceedings of the 2018 Conference on Research in Adaptive and Convergent Systems,1
2017 IEEE International Conference on Communications (ICC),2
Proceedings of the 2020 International Conference on Aviation Safety and Information Technology,1
2016 IEEE Congress on Evolutionary Computation (CEC),1
Commun. ACM,6
Quaternary,1
Geoderma Regional,3
Climate Risk Management,1
Logistics,2
2015 10th Asian Control Conference (ASCC),2
"2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",1
International Journal of Information Management,1
Progress in Disaster Science,1
Optical Switching and Networking,1
Journal of Transport Geography,1
Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,2
Ecological Modelling,4
2021 IEEE 2nd International Conference on Human-Machine Systems (ICHMS),1
2021 IEEE VTS 17th Asia Pacific Wireless Communications Symposium (APWCS),1
Sustainable Energy Technologies and Assessments,3
"2016 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",2
Intelligent and Converged Networks,1
"Proceedings of the 6th ACM Workshop on Micro Aerial Vehicle Networks, Systems, and Applications",3
2020 IEEE Wireless Communications and Networking Conference (WCNC),4
Mathematics and Computers in Simulation,5
Proceedings of the 29th ACM International Conference on Multimedia,4
2021 IEEE International Systems Conference (SysCon),1
2021 29th Signal Processing and Communications Applications Conference (SIU),2
Proceedings of the 2019 11th International Conference on Machine Learning and Computing,3
2021 IEEE 16th Conference on Industrial Electronics and Applications (ICIEA),2
Journal of Computer and System Sciences,1
Information and Software Technology,3
Proceedings of the 11th ACM SIGSPATIAL International Workshop on Computational Transportation Science,1
2021 International Conference on COMmunication Systems NETworkS (COMSNETS),1
2020 International Symposium on Antennas and Propagation (ISAP),1
2019 16th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),3
2020 6th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS),1
Proceedings of the 20th International Conference on Autonomous Agents and MultiAgent Systems,2
2019 IEEE 16th International Conference on Mobile Ad Hoc and Sensor Systems Workshops (MASSW),1
2021 Third International Conference on Inventive Research in Computing Applications (ICIRCA),1
Proceedings of the 13th International Conference on Distributed Smart Cameras,2
IEEE Transactions on Information Forensics and Security,2
2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),1
2016 IEEE 3rd World Forum on Internet of Things (WF-IoT),1
ACM SIGGRAPH 2021 Emerging Technologies,2
2020 IEEE 20th Mediterranean Electrotechnical Conference ( MELECON),1
"2018 Design, Automation Test in Europe Conference Exhibition (DATE)",1
Scientia Horticulturae,3
Current Opinion in Environmental Sustainability,2
ACM Trans. Inf. Syst.,1
Proceedings of the 7th International Conference on Internet Multimedia Computing and Service,1
2020 IEEE 3rd International Conference on Electronics Technology (ICET),1
"2021 International Conference on Information Science, Parallel and Distributed Systems (ISPDS)",1
Proceedings of the 21st International Conference on Distributed Computing and Networking,1
2018 Tenth International Conference on Ubiquitous and Future Networks (ICUFN),2
Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2
Procedia Environmental Sciences,2
2017 American Control Conference (ACC),2
2020 IEEE Globecom Workshops (GC Wkshps,5
2021 International Conference on Machine Learning and Intelligent Systems Engineering (MLISE),2
Physica D: Nonlinear Phenomena,1
Smart Agricultural Technology,8
2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE),3
Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering,3
"2021 International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT)",1
2019 International Conference on Multimodal Interaction,1
Journal of Traffic and Transportation Engineering (English Edition),4
"Proceedings of the 4th ACM Workshop on Micro Aerial Vehicle Networks, Systems, and Applications",3
2020 IEEE 18th International Conference on Industrial Informatics (INDIN),1
Proceedings of the 12th International Conference on Distributed Smart Cameras,1
2018 6th International Symposium on Digital Forensic and Security (ISDFS),1
2020 2nd IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS),1
2021 IEEE 8th International Workshop on Metrology for AeroSpace (MetroAeroSpace),2
"2020 IEEE International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics (DISCOVER)",1
Global Oceans 2020: Singapore – U.S. Gulf Coast,1
IEEE Journal on Miniaturization for Air and Space Systems,4
Electric Power Systems Research,2
Biomolecules,1
2019 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS),1
Proceedings of the International Conference on Embedded Software,1
