Periodico,Quantidade
IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,16
"2015 IEEE International Conference on Systems, Man, and Cybernetics",1
2017 IEEE International Conference on Computer Design (ICCD),1
Automatica,20
2017 IEEE Conference on Control Technology and Applications (CCTA),2
Algorithms,12
Procedia CIRP,5
Infrared Physics & Technology,19
Journal of Energy Storage,5
ACM Multimedia Asia,3
"2019 16th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)",1
Alexandria Engineering Journal,13
2020 International Conference on Computer Engineering and Intelligent Control (ICCEIC),1
Mechatronics,18
"2020 International Conference on Computing, Networking and Communications (ICNC)",2
2019 IEEE 90th Vehicular Technology Conference (VTC2019-Fall),4
Transportation Research Part A: Policy and Practice,6
2019 IEEE 4th International Conference on Advanced Robotics and Mechatronics (ICARM),2
Journal of the Franklin Institute,60
2021 International Joint Conference on Neural Networks (IJCNN),4
IEEE Open Journal of Vehicular Technology,3
Science of Remote Sensing,4
Land,16
Planetary and Space Science,1
Physical Communication,51
Agricultural and Forest Meteorology,18
Proceedings of the 2019 International Conference on Big Data Engineering,2
Journal of Systems Architecture,18
2021 31st International Telecommunication Networks and Applications Conference (ITNAC),2
Biologically Inspired Cognitive Architectures,3
Trends in Ecology & Evolution,5
Computers & Operations Research,7
Journal of Computational and Applied Mathematics,1
2019 Chinese Control And Decision Conference (CCDC),5
Geomorphology,23
2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),7
Proceedings of the Genetic and Evolutionary Computation Conference 2016,1
Proceedings of the 20th International Conference on Human-Computer Interaction with Mobile Devices and Services,1
2021 13th International Conference on Wireless Communications and Signal Processing (WCSP),6
2012 Proceedings of SICE Annual Conference (SICE),2
Journal of Systems Engineering and Electronics,5
Microelectronics Journal,1
J. Comput. Sci. Coll.,2
Proceedings of the 2nd International Workshop on Challenges in Artificial Intelligence and Machine Learning for Internet of Things,1
2020 Chinese Automation Congress (CAC),10
"IEEE/ACM Trans. Audio, Speech and Lang. Proc.",1
Proceedings of the 2021 5th International Conference on Electronic Information Technology and Computer Engineering,10
Proceedings of the 3rd ACM Workshop on Wireless Security and Machine Learning,1
IEEE Transactions on Aerospace and Electronic Systems,3
