Ano,Base,Quantidade
2021,IEEE,7
2021,ScienceDirect,26
2021,MDPI,12
2021,ACM,2
2020,IEEE,2
2020,ScienceDirect,3
2020,MDPI,0
2020,ACM,2
2022,IEEE,0
2022,ScienceDirect,2
2022,MDPI,2
2022,ACM,0
2019,IEEE,1
2019,ScienceDirect,1
2019,MDPI,0
2019,ACM,0
